,0
A,0001090872
AABA,0001011006
AAL,0000006201
AAMRQ,0000006201
AAP,0001158449
AAPL,0000320193
ABBV,0001551152
ABC,0001140859
ABI,0000077551
ABKFQ,0000874501
ABMD,0000815094
ABS,0000003333
ABT,0000001800
ABX,[]
ACAS,0000817473
ACKH,0001109304
ACN,0001467373
ACS,0000002135
ACV,0001636289
ADBE,0000796343
ADCT,0001771910
ADI,0000006281
ADM,0000007084
ADP,0000008670
ADS,0001101215
ADSK,0000769397
ADT,0001703056
AEE,0001002910
AEP,0000004904
AES,0000874761
AET,0001122304
AFL,0000004977
AFS.A,[]
AGC,0001823340
AGN,0001578845
AHM,0001256536
AIG,0000005272
AIT,0000109563
AIV,0000922864
AIZ,0001267238
AJG,0000354190
AKAM,0001086222
AKS,0000918160
AL,0001487712
ALB,0000915913
ALGN,0001097149
ALK,0000766421
ALL,0000899051
ALLE,0001579241
ALTR,0001701732
ALXN,0000899866
AM,0001623925
AMAT,0000006951
AMCC,0000711065
AMCR,0001748790
AMD,0000002488
AME,0001037868
AMG,0001004434
AMGN,0000318154
AMH,0001562401
AMP,0000820027
AMT,0001053507
AMZN,0001018724
AN,0000350698
ANDV,0000050104
ANDW,0000317093
ANET,0001596532
ANF,0001018840
ANRZQ,0001301063
ANSS,0001013462
ANTM,0001156039
ANV,0001376610
AON,0000315293
AOS,0000091142
APA,0001841666
APC,0000773910
APCC,0000835910
APD,0000002969
APH,0000820313
APOL,0000929887
APTV,0001521332
AR,0001433270
ARC,0001305168
ARE,0001035443
ARG,0000804212
ARNC,0001790982
AS,[]
ASC,0001577437
ASH,0001674862
ASN,0001156826
ASND,0001612042
ASO,0001817358
AT,0001419242
ATGE,0000730464
ATI,0001018963
ATO,0000731802
ATVI,0000718877
AV,0001140022
AVB,0000915912
AVGO,0001730168
AVP,0000008868
AVY,0000008818
AW,0000848865
AWE,0001138234
AWK,0001410636
AXP,0000004962
AYE,0000003673
AYI,0001144215
AZA.A,[]
AZO,0000866787
BA,0000012927
BAC,0000070858
BAX,0000010456
BAY,0001034594
BBBY,0000886158
BBI,0000819050
BBT,0000092230
BBY,0000764478
BC,0000014930
BCO,0000078890
BCR,0000009892
BDK,0000012355
BDX,0000010795
BEAM,0001745999
BEN,0000038777
BEV,0000812305
BF.B,[]
BFI,0001723580
BFO,0001181249
BGEN,0000714655
BGG,0000014195
BHF,0001685040
BHGE,0001701605
BHMSQ,[]
BIG,0000768835
BIIB,0000875045
BIO,0000012208
BJS,0000864328
BK,0001390777
BKB,[]
BKNG,0001075531
BKR,0001701605
BLK,0001364742
BLL,0000009389
BLS,0000732713
BLY,[]
BMC,0000835729
BMET,0000351346
BMGCA,[]
BMS,0000011199
BMY,0000014272
BNI,0000934612
BNL,0001424182
BOAT,[]
BOL,0000010427
BR,0001383312
BRCM,0001054374
BRK.B,0001067983
BRL,0000010081
BSC,0000777001
BSX,0000885725
BT,0000756620
BTUUQ,0001064728
BUD,0001668717
BVSN,0000920448
